frame	timestamp	surface	sdk_boundary	sdk_commitment	app_or_later_scope	evidence_note
001	00:00:28.107	live_media	sdk_core	Join room, render local/remote media handles, track active session.	Do not own stage layout or note overlay.	Initial active room state.
002	00:00:56.215	live_media	sdk_core	Keep media state stable during overlays and desktop sharing.	Do not own note overlay.	Active RTC room remains connected.
003	00:01:24.322	live_media	sdk_core	Expose join status, local participant, remote participant, and errors.	Do not own visual tile composition.	Active room with floating notes.
004	00:01:52.430	mobile_room_interop	sdk_core	Support same room identity across mobile and desktop clients.	App chooses mirrored/mobile layout.	Mobile surface appears beside desktop room.
005	00:02:20.537	mobile_room_interop	sdk_core	Expose room metadata and active participant state to mobile app.	App owns room list visual treatment.	Mobile room surface visible with active RTC.
006	00:02:48.645	mobile_room_interop	sdk_core	Keep client API and media join independent of UI shell.	App owns navigation chrome.	Mobile and desktop share same room state.
007	00:03:16.752	mobile_room_interop	sdk_core	Normalize connection state for mobile and desktop parity.	App owns screen composition.	Mobile mirror plus active desktop session.
008	00:03:44.859	mobile_room_interop	sdk_core	Expose reconnect and diagnostics events.	App owns debug overlay placement.	Mobile screen remains connected.
009	00:04:12.967	mobile_room_interop	sdk_core	Expose local/remote participant IDs and media state.	App owns RTC tiles.	Multiple clients in one room.
010	00:04:41.074	build_debug	sdk_build_test	Use as evidence for scripts, docs, and issue workflow.	GitHub/browser pages are not SDK runtime UI.	Debug and repository workflow visible.
011	00:05:09.182	mobile_room_interop	sdk_core	Support mobile foreground join while desktop remains in room.	App owns mobile container.	Mobile screen beside RTC room.
012	00:05:37.289	mobile_room_interop	sdk_core	Keep session and media state when app surfaces change.	App owns page transitions.	Mobile view changes during active call.
013	00:06:05.397	mobile_participant_controls	sdk_events	Expose participant list and role/mute actions as events or APIs.	App owns action sheet UI.	Participant or action controls visible.
014	00:06:33.504	mobile_participant_controls	sdk_events	Expose safe moderation state while media remains joined.	App owns modal copy and layout.	Role/action state changes during call.
015	00:07:01.611	creator_preflight	app_ui_plus_sdk_data	Expose prejoin room metadata and create/join inputs.	App owns tabs and setup form.	Prejoin music/video style screen.
016	00:07:29.719	mobile_room_list	app_ui_plus_sdk_data	List rooms, active previews, room type, privacy, and controls.	App owns feed cards.	Mobile room/feed state.
017	00:07:57.826	mobile_chat	sdk_events	Expose chat/message event stream and participant metadata.	App owns timeline and reactions UI.	Chat timeline visible in live room.
018	00:08:25.934	mobile_room_list	app_ui_plus_sdk_data	Support list refresh while a desktop session stays active.	App owns mobile list visual language.	Room list and active RTC in same workflow.
019	00:08:54.041	build_debug	sdk_build_test	Capture build/debug workflow requirements for SDK testing.	Editor and local IDE are out of runtime scope.	Code editor visible.
020	00:09:22.149	build_debug	sdk_build_test	Require reproducible build scripts and diagnostics.	IDE/debug UI is not SDK surface.	Editor plus active RTC room.
021	00:09:50.256	build_debug	sdk_build_test	Keep scripts able to validate SDK source and artifacts.	IDE UI is out of scope.	Code implementation frame.
022	00:10:18.363	build_debug	sdk_build_test	Track error messages and API contract failures in tests.	Editor UI is out of scope.	Code and active room.
023	00:10:46.471	build_debug	sdk_build_test	Use mocked backend and media adapter tests for regressions.	Editor UI is out of scope.	Code review while call continues.
024	00:11:14.578	mobile_room_list	app_ui_plus_sdk_data	Expose rooms, participant previews, and room status.	App owns feed/search/filter UI.	Mobile feed with active session.
025	00:11:42.686	mobile_participant_controls	sdk_events	Expose room admin, moderator, mute, and remove actions.	App owns admin sheet UI.	Admin participant sheet visible.
026	00:12:10.793	mobile_room_interop	sdk_core	Keep room metadata separate from media connection.	App owns profile/landing presentation.	Room landing/profile beside desktop RTC.
027	00:12:38.900	mobile_room_interop	sdk_core	Expose room controls and current participant state.	App owns room screen layout.	Mobile live room state.
028	00:13:07.008	mobile_room_interop	sdk_core	Support toggles without rebuilding session.	App owns control layout.	Mobile live controls visible.
029	00:13:35.115	mobile_room_interop	sdk_core	Expose local mic/camera state and remote subscriptions.	App owns tile layout.	Desktop and mobile room parity.
030	00:14:03.223	mobile_room_interop	sdk_core	Keep mobile and desktop participants synchronized.	App owns mobile room styling.	Shared room state with mobile screen.
031	00:14:31.330	mobile_room_list	app_ui_plus_sdk_data	List active rooms and participant counts.	App owns list design.	Mobile feed and room state.
032	00:14:59.438	mobile_room_list	app_ui_plus_sdk_data	Expose pagination/search filters through client API.	App owns filtering controls.	Room feed state continues.
033	00:15:27.545	mobile_room_list	app_ui_plus_sdk_data	Expose reaction/chat counters as optional event data.	App owns animated reactions.	Room list with social state.
034	00:15:55.652	build_debug	sdk_build_test	Use issue tracking as QA input for SDK acceptance.	GitHub page is not SDK runtime.	Repository issue list visible.
